2024-02-18 01:11:51.718 | SUCCESS  | modules.sync_client:verif_tx:127 - 0x6a136295400affC349c648eB9EeC580a478b4025 | transaction was successful: https://polygonscan.com/tx/0xa25817d4277a3d79c5db18a5c0dc96c75f5a099268629a0c4e1521338b69117f
2024-02-18 01:11:51.721 | INFO     | modules.router:bridge_all_usdc_to_polygon:68 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from BSC -> POLYGON
2024-02-18 01:12:00.455 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://bscscan.com/tx/0xcc26bd0cedbc0e5477c9f38633f98495ec7df948b3cedfabd4d4a8a1269cdc70 successfully!
2024-02-18 01:12:00.456 | INFO     | modules_settings:start_bridges:32 - Wait 60 sec for success bridge BSC -> POLYGON
2024-02-18 01:13:00.874 | INFO     | modules_settings:start_bridges:14 - Start usdc balance: 15.646625 USDC
2024-02-18 01:13:00.904 | INFO     | modules.sync_client:approve_interface:151 - 0x6a136295400affC349c648eB9EeC580a478b4025 | approve | start approve USDC for spender
2024-02-18 01:13:34.855 | SUCCESS  | modules.sync_client:verif_tx:127 - 0x6a136295400affC349c648eB9EeC580a478b4025 | transaction was successful: https://polygonscan.com/tx/0x324654f55075202276a3c40e10217c17505b951aa427c0339bf3ad325ae1e072
2024-02-18 01:13:34.858 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:13:42.610 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xf775b8f239a76b85c95435c6c86ce71d4199b7bdb522882a948d244f22acd206 successfully!
2024-02-18 01:13:43.009 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 14.546625
2024-02-18 01:13:43.011 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:13:47.605 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xf0a6bd7c611fb22b36c7b730455116e87bb9aaea9ac83653472ca68e567535a5 successfully!
2024-02-18 01:13:48.014 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 13.446625
2024-02-18 01:13:48.017 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:13:58.455 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xd5754eb42845dc7e03004003ffade05298dd01bb3979e6b8518fcbdb99a94b16 successfully!
2024-02-18 01:13:58.918 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 12.346625
2024-02-18 01:13:58.920 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:14:22.632 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xcee9f3fe0f117c8c00d6eff5bba23d170f186c612b8cd1348b0c99568edb7a2c successfully!
2024-02-18 01:14:23.247 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 11.246625
2024-02-18 01:14:23.249 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:14:34.270 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x037e8c4d94aaa222a818144e00916775ccbed27a3a572d85c4fdb85e5af824e8 successfully!
2024-02-18 01:14:34.966 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 10.146625
2024-02-18 01:14:34.966 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:14:49.682 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x4cc9410cf2c0f33f8a2f3517a4587def7d159ab469a3d9a1b915b66fce77c1cb successfully!
2024-02-18 01:14:50.365 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 9.046625
2024-02-18 01:14:50.368 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:15:50.691 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xe6790f1aa5dc99f3abeaef99d4df0e9f661bc24e1971f210c8047db7522639a4 successfully!
2024-02-18 01:15:51.115 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 7.946625
2024-02-18 01:15:51.117 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:15:55.353 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xe667eb6c8236b5cb009099563a475cb1b4de6f10e5b16614502e9b12c42b27fa successfully!
2024-02-18 01:15:55.792 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 6.846625
2024-02-18 01:15:55.794 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:16:03.509 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x4ab3a5b41ed59c2db07972c33aa01da8227ab2dda4c1478330d6bc5a4480d50f successfully!
2024-02-18 01:16:03.914 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 5.746625
2024-02-18 01:16:03.915 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:16:15.026 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0xc13a00e6417bcce53905f5d4abc86ed8da0cfec3fd288d4f08ed08b2df01c160 successfully!
2024-02-18 01:16:15.552 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 4.646625
2024-02-18 01:16:15.555 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:16:27.031 | SUCCESS  | modules.account:wait_until_tx_finished:92 - 0x6a136295400affC349c648eB9EeC580a478b4025 https://polygonscan.com/tx/0x663b62c8d742e6c51197062744ad6c53bd59e6e8600ef0c357590546f3182c2c successfully!
2024-02-18 01:16:27.717 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 3.546625
2024-02-18 01:16:27.720 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:19:30.143 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 3.546625
2024-02-18 01:19:30.146 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:22:31.956 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 3.546625
2024-02-18 01:22:31.958 | INFO     | modules.router:bridge_usdc_to_bnb:39 - 0x6a136295400affC349c648eB9EeC580a478b4025 bridge from POLYGON -> BSC
2024-02-18 01:25:33.856 | INFO     | modules_settings:start_bridges:23 - balance Polygon USDC after bridge: 3.546625
